offset, duration
3,31.999588012695312
16777217,53.99918556213379
33554433,68.02868843078613
50331649,80.9941291809082
67108865,90.61336517333984
83886081,102.02455520629883
100663297,106.90450668334961
117440513,93.96934509277344
134217729,93.63293647766113
150994945,103.03258895874023
167772161,106.99653625488281
184549377,111.50145530700684
201326593,114.09521102905273
218103809,119.96984481811523
234881025,124.02963638305664
251658241,127.03633308410645
268435457,130.9680938720703
285212673,135.0102424621582
301989889,139.97721672058105
318767105,143.2936191558838
335544321,145.76005935668945
352321537,150.18820762634277
369098753,153.4435749053955
385875969,155.93981742858887
402653185,159.04545783996582
419430401,163.06209564208984
436207617,166.01324081420898
452984833,169.036865234375
469762049,172.0116138458252
486539265,176.08928680419922
503316481,177.0176887512207
520093697,181.7023754119873
536870913,183.00223350524902
553648129,186.00106239318848
570425345,189.3165111541748
587202561,190.9501552581787
603979777,194.99802589416504
620756993,196.00176811218262
637534209,196.03347778320312
654311425,198.0299949645996
671088641,201.9979953765869
687865857,210.02864837646484
704643073,211.0426425933838
721420289,214.00046348571777
738197505,218.0306911468506
754974721,217.00143814086914
771751937,220.0028896331787
788529153,221.9834327697754
805306369,222.0005989074707
822083585,225.00038146972656
838860801,231.0009002685547
855638017,231.0020923614502
872415233,232.00178146362305
889192449,236.97233200073242
905969665,236.02962493896484
922746881,240.9975528717041
939524097,239.99500274658203
956301313,250.0011920928955
973078529,243.97730827331543
989855745,246.0007667541504
